symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
FG,3,60m,vol_breakout,vol_breakout|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,10085.976761408197,1289.544,-930.384,5,515.884,-824.1859999999997,0.5,2,2026-02-24 23:00:00,2026-04-15 10:00:00
FG,4,60m,vol_breakout,vol_breakout|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,9332.373880019444,1705.4180000000001,-1396.7360000000008,7,-242.068,-502.0679999999993,0.0,1,2026-04-15 11:15:00,2026-06-05 23:00:00
FG,1,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,5177.0779293777305,-348.54999999999995,-770.866,4,889.0600000000001,-773.2859999999982,0.4,5,2026-02-25 10:00:00,2026-03-20 09:30:00
FG,2,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,10579.075673150466,473.488,-580.0,3,0.0,0.0,0.0,0,2026-03-20 10:00:00,2026-04-15 13:45:00
FG,3,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,9666.061220044438,233.464,-580.0,3,0.0,0.0,0.0,0,2026-04-15 14:15:00,2026-05-13 21:30:00
FG,4,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,9666.061220044438,233.464,-580.0,3,0.0,0.0,0.0,0,2026-05-13 22:00:00,2026-06-05 23:00:00
FG,1,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|strict,3433.2449618548303,-277.65200000000004,-593.5359999999991,9,1444.9379999999999,-825.8279999999995,0.5714285714285714,7,2026-04-14 09:30:00,2026-04-24 22:30:00
FG,2,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.4|strict,7161.597556069758,1069.7419999999997,-1054.9659999999985,15,-1194.82,-1527.5100000000002,0.14285714285714285,7,2026-04-24 22:45:00,2026-05-13 09:45:00
FG,3,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.4|strict,5430.045986764599,1438.6260000000004,-1203.2780000000002,20,191.75399999999993,-788.210000000001,0.75,4,2026-05-13 10:00:00,2026-05-25 23:00:00
FG,4,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.4|strict,6053.954987265145,1568.2440000000004,-1203.2780000000002,25,411.702,-832.5539999999992,0.5,4,2026-05-26 09:15:00,2026-06-05 23:00:00
C,1,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,7152.264998898374,141.39299999999997,-430.8209999999999,4,683.339,-220.0,0.6666666666666666,3,2025-11-10 11:15:00,2025-12-26 10:00:00
C,2,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,11743.990017625234,1096.938,-430.8209999999999,6,330.82300000000004,-589.101999999999,0.5,4,2025-12-26 11:15:00,2026-02-24 22:00:00
C,3,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,11108.957582118013,1555.53,-589.101999999999,11,502.797,-504.762999999999,0.6666666666666666,3,2026-02-24 23:00:00,2026-04-15 10:00:00
C,4,60m,vol_breakout,vol_breakout|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,17005.6592,933.197,-234.3770000000004,3,245.29500000000002,-262.33100000000013,1.0,2,2026-04-15 11:15:00,2026-06-05 23:00:00
C,1,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,14617.927099999999,416.2,-239.08100000000195,6,193.266,-623.9350000000031,0.42857142857142855,7,2026-02-25 10:00:00,2026-03-20 09:30:00
C,2,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,13593.599400000001,610.594,-304.66399999999885,4,-44.73700000000001,-307.1179999999986,0.5,2,2026-03-20 10:00:00,2026-04-15 13:45:00
C,3,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.8|strict,14157.9271,1711.866,-289.45100000000093,12,-132.01,-341.599000000002,0.2,5,2026-04-15 14:15:00,2026-05-13 21:30:00
C,4,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.8|strict,12103.027007410878,1547.468,-341.599000000002,18,-159.281,-631.5689999999995,0.5,4,2026-05-13 22:00:00,2026-06-05 23:00:00
C,1,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom48|vol48|th0.8|strict,13028.598128046575,205.796,-119.52000000000226,6,117.86599999999999,-207.02000000000226,0.4,5,2026-04-14 09:30:00,2026-04-24 22:30:00
C,2,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom48|vol48|th0.8|strict,9279.939802178858,311.27,-207.02000000000226,12,83.33099999999999,-182.10200000000077,0.42857142857142855,7,2026-04-24 22:45:00,2026-05-13 09:45:00
C,3,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,9435.499560499522,178.04699999999997,-97.06500000000051,5,-94.667,-119.32699999999932,0.0,2,2026-05-13 10:00:00,2026-05-25 23:00:00
C,4,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,16821.2265,312.922,-94.70499999999993,3,-72.31700000000001,-252.31700000000092,0.0,1,2026-05-26 09:15:00,2026-06-05 23:00:00
RB,1,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,13964.256499999998,414.68,-492.3150000000023,5,-758.5950000000001,-911.7669999999998,0.3333333333333333,6,2025-11-10 11:15:00,2025-12-26 10:00:00
RB,2,60m,tsmom_vol,tsmom_vol|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|strict,7349.71912554568,677.4060000000002,-1056.8619999999992,17,-78.19100000000003,-1293.4560000000001,0.3333333333333333,9,2025-12-26 11:15:00,2026-02-24 22:00:00
RB,3,60m,vol_breakout,vol_breakout|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,7523.798433626384,-239.404,-805.625,3,0.0,0.0,0.0,0,2026-02-24 23:00:00,2026-04-15 10:00:00
RB,4,60m,vol_breakout,vol_breakout|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,3883.1624741849723,-632.499,-1211.853,4,-543.165,-563.165,0.0,1,2026-04-15 11:15:00,2026-06-05 23:00:00
RB,1,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,14464.6878,1134.676,-336.27800000000025,5,168.224,-566.228000000001,0.5714285714285714,7,2026-02-25 10:00:00,2026-03-20 09:30:00
RB,2,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.8|strict,16881.133299999998,1281.4769999999999,-566.228000000001,6,-529.354,-665.5330000000013,0.0,3,2026-03-20 10:00:00,2026-04-15 13:45:00
RB,3,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.8|strict,10091.105145051893,752.1229999999998,-801.8019999999997,9,363.54499999999996,-313.2639999999992,1.0,2,2026-04-15 14:15:00,2026-05-13 21:30:00
RB,4,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.8|strict,12706.620239395565,1552.5209999999997,-864.9200000000001,12,-905.9199999999998,-1178.6150000000016,0.2,5,2026-05-13 22:00:00,2026-06-05 23:00:00
RB,1,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom48|vol48|th0.8|strict,4912.371611975648,-125.52700000000002,-282.4409999999989,5,597.853,-219.38800000000083,0.8571428571428571,7,2026-04-14 09:30:00,2026-04-24 22:30:00
RB,2,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom48|vol48|th0.8|strict,8379.383030712577,326.13,-473.46900000000096,14,40.533000000000015,-396.35099999999875,0.5,6,2026-04-24 22:45:00,2026-05-13 09:45:00
RB,3,15m,vol_breakout,vol_breakout|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,10705.986882572286,350.41200000000003,-332.7530000000006,3,-236.397,-539.6209999999992,0.5,2,2026-05-13 10:00:00,2026-05-25 23:00:00
RB,4,15m,vol_breakout,vol_breakout|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,8197.984933883958,114.01500000000004,-539.621000000001,5,0.0,0.0,0.0,0,2026-05-26 09:15:00,2026-06-05 23:00:00
SR,1,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,11893.845395058292,11422.654999999999,-4266.697,18,11033.418000000001,-6042.441999999997,0.42857142857142855,14,2010-01-29 00:00:00,2014-03-11 00:00:00
SR,2,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,21408.889265693142,32174.471999999998,-5153.946000000001,22,-825.9340000000002,-3905.6680000000006,0.3333333333333333,3,2014-03-12 00:00:00,2018-03-28 00:00:00
SR,3,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.8|strict,21857.0468,24999.132,-3491.6879999999983,18,-6916.861000000001,-8466.18,0.0,7,2018-03-29 00:00:00,2022-04-28 00:00:00
SR,4,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,21638.047859380833,34077.764,-5330.184000000001,29,3350.1990000000005,-4385.7959999999985,0.5,16,2022-04-29 00:00:00,2026-06-05 00:00:00
FG,1,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex16|mom48|vol48|th0.75|strict,6245.224607138088,50.80200000000001,-1220.0,4,1134.404,-1105.406,0.5,2,2015-08-17 00:00:00,2018-04-26 00:00:00
FG,2,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am2|ex16|mom48|vol48|th0.9|strict,5106.1077163730815,2019.4520000000005,-3387.8020000000015,19,113.5340000000001,-4502.912000000001,0.4444444444444444,9,2018-04-27 00:00:00,2021-01-05 00:00:00
FG,3,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex16|mom48|vol48|th0.75|strict,9223.223102444626,4533.65,-2653.370000000001,10,-1926.094,-2049.268,0.0,2,2021-01-06 00:00:00,2023-09-12 00:00:00
FG,4,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,8069.243646034423,10451.449999999999,-5021.852000000001,20,2735.606,-4464.396000000001,0.5,2,2023-09-13 00:00:00,2026-06-05 00:00:00
RM,1,60m,tsmom_vol,tsmom_vol|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom48|vol48|th0.8|strict,14795.512700000001,1375.4799999999998,-574.6969999999983,6,-596.663,-892.1019999999999,0.2857142857142857,7,2025-11-10 11:15:00,2025-12-26 10:00:00
RM,2,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,11488.936706579447,1273.1519999999998,-884.8210000000008,7,438.553,-627.1149999999998,0.6,5,2025-12-26 11:15:00,2026-02-24 22:00:00
RM,3,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.003|lb32|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,12032.86672644122,1976.36,-884.8210000000008,10,2250.415,-1294.8829999999998,0.5,4,2026-02-24 23:00:00,2026-04-15 10:00:00
RM,4,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,13462.593324095242,5732.892000000001,-1192.5010000000002,20,-951.6850000000001,-1281.871,0.2,5,2026-04-15 11:15:00,2026-06-05 23:00:00
RM,1,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,16559.4799,563.1659999999999,-524.5589999999993,3,633.068,-1089.9310000000005,0.2857142857142857,7,2026-02-25 10:00:00,2026-03-20 09:30:00
RM,2,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,9991.382801348893,2448.5879999999997,-683.8850000000002,9,1348.4789999999998,-488.97799999999916,0.8,5,2026-03-20 10:00:00,2026-04-15 13:45:00
RM,3,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,17362.47,1692.94,-260.0,3,165.19700000000003,-322.3739999999998,0.5,2,2026-04-15 14:15:00,2026-05-13 21:30:00
RM,4,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,14710.8934,1858.137,-464.6389999999992,5,0.0,0.0,0.0,0,2026-05-13 22:00:00,2026-06-05 23:00:00
RM,1,15m,quality_tsmom,quality_tsmom|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,8039.894459860301,-1.3599999999999852,-446.7399999999998,5,250.556,-427.16899999999987,0.75,4,2026-04-14 09:30:00,2026-04-24 22:30:00
RM,2,15m,quality_tsmom,quality_tsmom|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,9504.481066976821,249.19600000000005,-483.7540000000008,9,-421.943,-483.90600000000086,0.4,5,2026-04-24 22:45:00,2026-05-13 09:45:00
RM,3,15m,quality_tsmom,quality_tsmom|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,7665.468669685527,-25.11599999999993,-775.7950000000037,15,428.33299999999997,-184.64600000000064,0.6,5,2026-05-13 10:00:00,2026-05-25 23:00:00
RM,4,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.003|lb32|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,8740.080911108078,281.48999999999995,-748.2259999999997,8,-184.56,-326.84699999999975,0.5,2,2026-05-26 09:15:00,2026-06-05 23:00:00
HC,1,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,16999.5012,1296.955,-443.3070000000007,4,-689.834,-896.3370000000023,0.0,3,2025-11-10 11:15:00,2025-12-26 10:00:00
HC,2,60m,tsmom_vol,tsmom_vol|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|strict,12026.127482314503,1463.9180000000001,-926.3090000000029,11,700.209,-553.1579999999994,0.6666666666666666,3,2025-12-26 11:15:00,2026-02-24 22:00:00
HC,3,60m,tsmom_vol,tsmom_vol|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|strict,9461.502303928459,1697.569,-1325.4840000000095,16,-226.51200000000006,-1019.7450000000008,0.2,5,2026-02-24 23:00:00,2026-04-15 10:00:00
HC,4,60m,tsmom_vol,tsmom_vol|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|strict,7614.650455462995,1471.057,-1325.4840000000095,21,-640.4639999999999,-1473.7529999999988,0.3333333333333333,6,2026-04-15 11:15:00,2026-06-05 23:00:00
HC,1,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.8|strict,13436.4337,437.06399999999996,-382.8869999999988,4,326.83799999999997,-506.53299999999945,0.75,4,2026-02-25 10:00:00,2026-03-20 09:30:00
HC,2,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,9799.672439344507,180.26200000000003,-296.46600000000035,3,0.0,0.0,0.0,0,2026-03-20 10:00:00,2026-04-15 13:45:00
HC,3,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,10872.530845210915,186.95900000000003,-316.59699999999975,4,-293.396,-306.8200000000015,0.0,1,2026-04-15 14:15:00,2026-05-13 21:30:00
HC,4,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom48|vol48|th0.8|strict,7787.522753250063,790.4319999999999,-572.6779999999981,27,-1077.198,-1380.9270000000006,0.25,8,2026-05-13 22:00:00,2026-06-05 23:00:00
HC,1,15m,quality_tsmom,quality_tsmom|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.4|tq0.2|strict,7125.914938529287,-196.434,-316.27800000000025,5,96.53299999999996,-500.20800000000054,0.75,4,2026-04-14 09:30:00,2026-04-24 22:30:00
HC,2,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,11217.985732267545,946.79,-422.8149999999987,10,-77.73699999999995,-778.289999999999,0.25,8,2026-04-24 22:45:00,2026-05-13 09:45:00
HC,3,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,8334.483651882225,249.33999999999997,-343.90899999999965,9,-557.1149999999999,-624.281,0.2,5,2026-05-13 10:00:00,2026-05-25 23:00:00
HC,4,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.8|strict,6144.3054899497865,462.3320000000001,-981.7089999999989,20,16.460000000000008,-313.5590000000011,0.25,4,2026-05-26 09:15:00,2026-06-05 23:00:00
